,geoLevel1,geoLevel2,SERIAL,PUMA,WGTP,geoLevel0,NP,Long,Lat,serialSynth
520,1,9907,688891,102,52,11,4,-76.98823792,38.90470521,688891-1
817,1,10100,588938,104,172,11,2,-76.99229741,38.86136833,588938-2
820,1,1902,1269304,101,0,11,1,-77.0161097,38.82771543,1269304-1
854,1,8301,899167,101,0,11,1,-76.9699457,38.91911587,899167-1
608,1,9601,968852,105,65,11,2,-76.98336401,38.87093525,968852-1
1378,1,9504,1384410,105,88,11,3,-76.99676513,38.85960473,1384410-1
116,1,9203,140227,104,55,11,1,-76.98029863,38.91203521,140227-4
214,1,9504,206064,105,0,11,1,-76.9951056,38.85772556,206064-1
89,1,8301,128181,101,86,11,4,-76.96572243,38.93097302,128181-1
780,1,6600,933740,104,192,11,1,-76.96192327,38.89159322,933740-2
279,1,9203,325889,104,117,11,1,-76.98554161,38.90781038,325889-3
636,1,8903,611513,105,264,11,1,-76.97930672,38.90501455,611513-4
1258,1,8903,1218981,105,62,11,1,-76.97967418,38.90409959,1218981-2
954,1,8903,918435,105,0,11,1,-76.98027391,38.9035914,918435-1
1508,1,9602,1397462,105,90,11,1,-77.01749821,38.82492922,1397462-3
466,1,1902,701410,101,66,11,1,-77.01096306,38.83690007,701410-3
1319,1,7304,1299658,105,67,11,1,-77.03692483,38.81865682,1299658-1
111,1,9907,150827,102,63,11,1,-76.9843285,38.9041822,150827-2
1403,1,8903,1330881,105,104,11,1,-76.97951201,38.90598955,1330881-3
763,1,9602,750979,105,60,11,1,-77.03875245,38.82290126,750979-1
617,1,9907,803310,102,87,11,1,-76.98611824,38.90447771,803310-1
960,1,9203,1042719,104,64,11,4,-76.97631224,38.91496517,1042719-2
90,1,9203,100470,104,63,11,1,-76.98006062,38.91099673,100470-1
1167,1,9907,1353697,102,77,11,1,-76.98888248,38.90424727,1353697-1
926,1,9203,1008149,104,83,11,1,-76.98157666,38.91051454,1008149-1
1172,1,9504,1179627,105,61,11,1,-76.99106407,38.86792055,1179627-1
900,1,8903,870114,105,96,11,2,-76.98233447,38.90155622,870114-1
384,1,1902,599970,101,47,11,2,-77.00937717,38.83893064,599970-3
126,1,9907,169654,102,187,11,1,-76.98698355,38.90438734,169654-2
1182,1,7304,1175646,105,86,11,1,-77.02347957,38.81990183,1175646-1
1259,1,9203,1305268,104,68,11,2,-76.97966719,38.91563689,1305268-4
499,1,9907,667410,102,51,11,2,-76.98223489,38.90220595,667410-1
6,1,10100,7088,104,137,11,7,-76.99225727,38.86166749,7088-2
728,1,9602,702908,105,52,11,4,-77.02227475,38.82638923,702908-1
315,1,9907,411622,102,183,11,4,-76.98620895,38.90471479,411622-3
1238,1,9203,1294633,104,103,11,2,-76.98067126,38.91475378,1294633-3
885,1,1902,1386831,101,0,11,1,-77.01077161,38.83523762,1386831-1
7,1,9907,14190,102,82,11,2,-76.98646941,38.90657588,14190-1
1468,1,4300,1027789,103,85,11,3,-76.99053317,38.86512641,1027789-2
359,1,9203,405732,104,0,11,1,-76.98088487,38.91422898,405732-4
458,1,4300,351161,103,83,11,2,-76.99034043,38.86673921,351161-2
297,1,8301,358872,101,0,11,1,-76.96978444,38.92810461,358872-2
684,1,8301,727268,101,113,11,2,-76.96408114,38.93379118,727268-1
409,1,9601,682292,105,0,11,1,-76.98176201,38.8743657,682292-1
725,1,8903,695477,105,58,11,1,-76.98048629,38.90384111,695477-3
207,1,8301,267595,101,0,11,1,-76.97592712,38.90951503,267595-5
323,1,9602,263043,105,75,11,3,-77.03173023,38.82824866,263043-1
358,1,9907,468132,102,132,11,1,-76.98297039,38.90379062,468132-3
958,1,9504,957051,105,131,11,1,-76.99148749,38.86376265,957051-3
20,1,8410,36682,104,84,11,1,-76.97380021,38.88590715,36682-1
653,1,9602,626231,105,222,11,2,-77.04233892,38.83506395,626231-2
425,1,1600,339152,102,46,11,1,-76.94208124,38.91785301,339152-5
172,1,8301,222215,101,0,11,1,-76.97409696,38.91868621,222215-1
711,1,9203,760203,104,54,11,2,-76.9846429,38.90964416,760203-3
265,1,9203,309955,104,69,11,3,-76.97720399,38.91534315,309955-1
1017,1,7304,974489,105,0,11,1,-77.03059785,38.79864243,974489-2
394,1,8410,881154,104,129,11,1,-76.96808986,38.88974044,881154-2
380,1,9907,479072,102,200,11,2,-76.98308506,38.90285959,479072-1
142,1,9601,222978,105,91,11,1,-76.98121082,38.87300593,222978-1
746,1,9601,1179627,105,61,11,1,-76.98564078,38.86963125,1179627-1
898,1,9504,914700,105,0,11,1,-76.99301122,38.86395479,914700-1
208,1,10100,155228,104,58,11,5,-76.99332315,38.86170549,155228-3
1392,1,7304,1381117,105,69,11,2,-77.0254797,38.81233544,1381117-2
1282,1,9203,1341299,104,65,11,1,-76.9767297,38.91429864,1341299-1
685,1,9907,884083,102,156,11,2,-76.9834001,38.90265389,884083-1
570,1,9203,584164,104,131,11,1,-76.97994512,38.91363046,584164-2
917,1,9504,921878,105,56,11,3,-76.99450196,38.86214365,921878-1
368,1,9907,472290,102,181,11,1,-76.9879454,38.90281255,472290-3
520,1,8410,1138968,104,69,11,5,-76.97269794,38.88341237,1138968-1
571,1,9203,584164,104,131,11,1,-76.97994258,38.91317134,584164-3
944,1,7304,931197,105,55,11,1,-77.0227665,38.81531312,931197-1
333,1,8301,405311,101,52,11,3,-76.96831334,38.91721543,405311-3
157,1,1901,140227,104,55,11,1,-76.99803474,38.85601106,140227-5
1243,1,10100,956708,104,195,11,3,-76.99172171,38.86289245,956708-3
156,1,10100,121821,104,63,11,5,-76.9919333,38.86274282,121821-1
991,1,9203,1067887,104,65,11,1,-76.97874654,38.91325984,1067887-3
809,1,9907,1007299,102,63,11,1,-76.98842012,38.90213512,1007299-2
1151,1,8301,1318504,101,59,11,4,-76.97562854,38.91976443,1318504-3
1114,1,9203,1164777,104,87,11,3,-76.98520011,38.90729573,1164777-1
1398,1,4300,970849,103,84,11,1,-76.9875561,38.86711145,970849-1
806,1,8301,849395,101,57,11,2,-76.97278444,38.91402826,849395-3
600,1,9203,621162,104,61,11,5,-76.98042097,38.9090854,621162-4
318,1,9601,510241,105,89,11,1,-76.98553245,38.87026112,510241-2
204,1,9203,224785,104,52,11,3,-76.9792878,38.91497027,224785-1
479,1,9602,412698,105,0,11,1,-77.03065371,38.82188593,412698-3
1340,1,9602,1261128,105,159,11,2,-77.04647891,38.84118689,1261128-2
799,1,9504,825123,105,264,11,2,-76.99144548,38.86368973,825123-2
1023,1,9907,1223280,102,161,11,3,-76.98289765,38.90376392,1223280-1
657,1,8410,1413496,104,62,11,1,-76.96649435,38.89145505,1413496-2
1136,1,7304,1110108,105,342,11,1,-77.02625089,38.8105797,1110108-1
934,1,9203,1023689,104,62,11,1,-76.98488535,38.90850168,1023689-1
1087,1,9907,1279322,102,115,11,3,-76.9848822,38.90197666,1279322-2
972,1,9203,1054409,104,53,11,4,-76.97890248,38.91524783,1054409-1
200,1,7304,184688,105,0,11,1,-77.03752454,38.81592052,184688-2
591,1,9203,605750,104,260,11,1,-76.97754721,38.91245198,605750-3
884,1,9203,963011,104,73,11,2,-76.98368043,38.90599323,963011-1
1255,1,4300,847982,103,159,11,3,-76.98895121,38.86515555,847982-2
704,1,4300,514083,103,66,11,5,-76.9898416,38.86489921,514083-3
42,1,9907,68077,102,90,11,2,-76.98835075,38.90377958,68077-5
967,1,8301,1078729,101,67,11,2,-76.97015663,38.92243078,1078729-1
1134,1,9907,1326015,102,36,11,2,-76.98698476,38.90237968,1326015-4
238,1,9907,306102,102,72,11,1,-76.9889336,38.90286419,306102-3
112,1,8301,156758,101,88,11,1,-76.97600841,38.91078196,156758-1
641,1,8410,1357557,104,0,11,1,-76.9642911,38.89265221,1357557-2
769,1,9907,972949,102,49,11,6,-76.9865317,38.90284436,972949-1
1953,1,4300,1358609,103,83,11,2,-76.98783934,38.86559526,1358609-2
426,1,8410,956708,104,195,11,3,-76.97541632,38.88172475,956708-4
326,1,8410,698610,104,42,11,2,-76.9760223,38.88503762,698610-1
656,1,9907,860676,102,66,11,7,-76.98440587,38.90366406,860676-1
780,1,9907,992105,102,50,11,1,-76.98401143,38.90105978,992105-1
1132,1,8301,1284599,101,94,11,3,-76.96716044,38.92821414,1284599-1
1155,1,9907,1347696,102,171,11,4,-76.98743592,38.90474886,1347696-5
266,1,1902,465745,101,62,11,2,-77.01399269,38.82984497,465745-1
722,1,1902,1140711,101,46,11,2,-77.0141329,38.83206178,1140711-2
259,1,4300,211367,103,157,11,1,-76.99069197,38.86496113,211367-3
844,1,4300,600302,103,185,11,2,-76.98756101,38.86666771,600302-2
767,1,9203,835709,104,107,11,1,-76.97950403,38.91313006,835709-2
1217,1,9203,1272177,104,69,11,1,-76.9772508,38.91567492,1272177-3
438,1,8410,978961,104,50,11,1,-76.96411268,38.89216084,978961-1
241,1,1600,203968,102,55,11,1,-76.94292744,38.91766217,203968-1
246,1,8903,216300,105,86,11,1,-76.98180498,38.9024331,216300-1
648,1,6600,761453,104,288,11,3,-76.9620023,38.89243635,761453-1
19,1,8301,32381,101,86,11,1,-76.96780572,38.92125046,32381-1
467,1,9907,639355,102,89,11,2,-76.98532443,38.90249512,639355-1
900,1,3200,759389,105,73,11,1,-76.96496884,38.93475563,759389-4
955,1,1600,847033,102,57,11,3,-76.95480415,38.90996321,847033-2
1464,1,8903,1389857,105,0,11,1,-76.97959479,38.90531066,1389857-1
1480,1,10100,1127769,104,66,11,3,-76.9936253,38.86000809,1127769-1
1466,1,8903,1391284,105,82,11,1,-76.97967797,38.90435688,1391284-1
681,1,9907,883228,102,81,11,1,-76.98541028,38.90364252,883228-1
1229,1,4300,833237,103,72,11,1,-76.98916862,38.86726742,833237-2
110,1,1902,229458,101,77,11,2,-77.01550338,38.82882062,229458-1
1130,1,9504,1121982,105,123,11,2,-76.99736029,38.85817627,1121982-2
1525,1,9602,1411252,105,56,11,3,-77.03641462,38.82210557,1411252-5
644,1,9602,616005,105,91,11,2,-77.03280598,38.82156322,616005-3
1396,1,7304,1389857,105,0,11,1,-77.02021444,38.81880305,1389857-1
1298,1,9602,1233500,105,187,11,1,-77.03513384,38.83972813,1233500-1
138,1,9907,185436,102,211,11,1,-76.98685461,38.90548959,185436-2
1092,1,9907,1283052,102,0,11,1,-76.98682855,38.90379098,1283052-4
423,1,9203,455735,104,70,11,1,-76.98089026,38.90626457,455735-2
1635,1,4300,1161427,103,96,11,1,-76.98832196,38.86686485,1161427-6
420,1,4300,339037,103,145,11,3,-76.99036401,38.86506399,339037-2
118,1,9907,161030,102,68,11,3,-76.98501446,38.90528373,161030-1
455,1,9907,626944,102,53,11,3,-76.98266399,38.90364234,626944-3
687,1,1902,1096207,101,81,11,2,-77.01715281,38.82769596,1096207-1
609,1,9203,630517,104,65,11,1,-76.98539094,38.90791437,630517-2
441,1,8301,489542,101,59,11,3,-76.97329223,38.91719791,489542-3
1025,1,2202,1003910,103,63,11,1,-76.95935275,38.92950162,1003910-4
635,1,9203,659428,104,95,11,1,-76.98001105,38.91547087,659428-2
764,1,9907,972033,102,70,11,1,-76.98136255,38.90380251,972033-1
315,1,9203,352013,104,79,11,7,-76.97637133,38.91428269,352013-3
445,1,8301,502068,101,85,11,2,-76.96480102,38.9217581,502068-1
688,1,9907,884083,102,156,11,2,-76.98836689,38.90441816,884083-4
490,1,9907,659380,102,52,11,3,-76.98498768,38.90114077,659380-2
588,1,9907,761742,102,177,11,1,-76.98535268,38.90333588,761742-2
579,1,9203,597154,104,73,11,3,-76.98048031,38.91336874,597154-2
317,1,9203,352013,104,79,11,7,-76.98403339,38.90930371,352013-5
37,1,9907,67092,102,149,11,1,-76.98838213,38.90330266,67092-1
421,1,9203,453765,104,65,11,1,-76.97978734,38.90710549,453765-4
42,1,7304,39684,105,67,11,2,-77.02438925,38.81799348,39684-3
1113,1,9203,1164321,104,175,11,1,-76.97765505,38.91238892,1164321-3
34,1,9907,60727,102,115,11,2,-76.98220983,38.90422573,60727-2
544,1,6600,630517,104,65,11,1,-76.96168353,38.89398337,630517-2
176,1,10100,138853,104,63,11,3,-76.99386063,38.86112864,138853-2
1021,1,8301,1148534,101,121,11,1,-76.9615369,38.92959813,1148534-1
449,1,9203,469529,104,0,11,1,-76.98391536,38.91039275,469529-5
271,1,9602,220359,105,92,11,1,-77.04297365,38.83551397,220359-3
1046,1,9504,1011570,105,95,11,1,-76.99189937,38.86776611,1011570-2
770,1,1902,1200033,101,92,11,5,-77.01705825,38.827998,1200033-1
706,1,4300,514083,103,66,11,5,-76.98888221,38.86481792,514083-5
938,1,9203,1027159,104,106,11,1,-76.98014183,38.91204399,1027159-2
1063,1,2202,1033849,103,225,11,4,-76.96221963,38.92713271,1033849-2
602,1,9601,964254,105,0,11,1,-76.98431066,38.87239127,964254-1
1131,1,9203,1183858,104,189,11,1,-76.97886196,38.91268865,1183858-1
116,1,7304,104911,105,96,11,1,-77.02140554,38.81733656,104911-1
854,1,7304,867773,105,94,11,1,-77.03642394,38.81738035,867773-1
1165,1,8301,1332278,101,83,11,1,-76.96288714,38.93462613,1332278-1
176,1,2202,195339,103,78,11,1,-76.95810035,38.92914804,195339-1
363,1,9601,584842,105,0,11,1,-76.9815338,38.87438739,584842-3
599,1,9203,621162,104,61,11,5,-76.98125583,38.91186171,621162-3
1426,1,9602,1331025,105,0,11,1,-77.01196782,38.83884694,1331025-1
23,1,7304,16166,105,294,11,2,-77.03716678,38.81954375,16166-2
854,1,9907,1054250,102,180,11,1,-76.98918339,38.90327069,1054250-1
759,1,9907,968124,102,66,11,1,-76.98867706,38.90215247,968124-1
879,1,8903,846584,105,74,11,1,-76.97793024,38.90610478,846584-2
1038,1,9907,1227273,102,68,11,1,-76.98371772,38.90038789,1227273-1
903,1,9504,918068,105,0,11,1,-76.99012543,38.86834991,918068-1
859,1,8301,904834,101,0,11,1,-76.9700905,38.91997078,904834-3
114,1,9203,140227,104,55,11,1,-76.98247224,38.90968139,140227-2
573,1,4300,423598,103,64,11,1,-76.99007869,38.86405007,423598-3
816,1,4300,586384,103,70,11,1,-76.98959769,38.86703063,586384-2
779,1,4300,562757,103,57,11,2,-76.98812252,38.86664303,562757-3
284,1,9203,326284,104,125,11,2,-76.97795116,38.9123274,326284-3
581,1,2202,577217,103,67,11,1,-76.96160835,38.92487312,577217-1
1245,1,7304,1239188,105,55,11,4,-77.02648871,38.81978076,1239188-1
366,1,9907,472290,102,181,11,1,-76.98565066,38.90400038,472290-1
1158,1,9203,1209224,104,50,11,1,-76.98357069,38.90563469,1209224-1
892,1,9907,1091056,102,77,11,5,-76.98706378,38.9051574,1091056-1
197,1,10100,149389,104,83,11,1,-76.99359026,38.86093692,149389-1
12,1,8410,29152,104,242,11,1,-76.96504122,38.89202788,29152-2
1085,1,9907,1277380,102,50,11,1,-76.98548272,38.90281065,1277380-1
1082,1,1901,922606,104,164,11,2,-77.00619737,38.84330978,922606-1
601,1,8410,1309642,104,44,11,3,-76.97637484,38.88191508,1309642-2
927,1,8903,898422,105,71,11,2,-76.9805026,38.9041373,898422-1
675,1,2202,670236,103,65,11,3,-76.95833561,38.92906091,670236-2
788,1,9203,864054,104,55,11,1,-76.98044055,38.91167043,864054-2
281,1,6600,351848,104,58,11,5,-76.96126358,38.89675927,351848-2
984,1,4801,1322142,102,72,11,4,-76.98012169,38.91553241,1322142-5
752,1,8903,727889,105,75,11,2,-76.98204877,38.90163405,727889-3
434,1,1901,396894,104,90,11,2,-77.00868579,38.83940266,396894-3
942,1,2202,906911,103,169,11,5,-76.96052346,38.92633715,906911-2
795,1,8301,839940,101,66,11,1,-76.96115818,38.93028133,839940-2
93,1,8410,211494,104,236,11,4,-76.97000232,38.88734891,211494-1
443,1,9504,408130,105,70,11,1,-76.99211036,38.8653433,408130-1
129,1,2202,144390,103,65,11,1,-76.96159593,38.9278945,144390-4
1034,1,9203,1093189,104,126,11,2,-76.97851637,38.91586892,1093189-4
242,1,9504,224887,105,71,11,1,-76.99676251,38.85793124,224887-1
876,1,1901,740976,104,77,11,1,-77.00665564,38.84375306,740976-5
1014,1,9907,1212038,102,87,11,5,-76.98346847,38.90019718,1212038-4
202,1,9504,191326,105,73,11,3,-76.99159686,38.86582413,191326-2
261,1,9203,287382,104,159,11,1,-76.9768601,38.91471037,287382-2
717,1,9907,921957,102,55,11,1,-76.98467599,38.90059492,921957-1
878,1,9602,856100,105,300,11,2,-77.03210813,38.82380254,856100-1
572,1,2202,568489,103,79,11,3,-76.96050951,38.9253805,568489-1
556,1,8301,608294,101,140,11,1,-76.97627932,38.90835987,608294-5
225,1,9907,294433,102,58,11,1,-76.98652397,38.9047105,294433-1
1097,1,4300,740937,103,65,11,4,-76.98911878,38.86731452,740937-3
387,1,8410,874192,104,103,11,1,-76.97172631,38.88597658,874192-1
900,1,9504,916248,105,0,11,1,-76.99435764,38.85867147,916248-1
388,1,9907,496437,102,74,11,3,-76.98655629,38.90341021,496437-3
27,1,9907,51524,102,48,11,2,-76.98407236,38.90065627,51524-3
1574,1,4300,1118674,103,0,11,1,-76.99099187,38.86357271,1118674-4
1156,1,4300,786933,103,72,11,1,-76.98966587,38.86677048,786933-3
103,1,9907,148517,102,59,11,2,-76.9860639,38.90474915,148517-1
796,1,9203,880021,104,189,11,2,-76.98038148,38.90595361,880021-2
147,1,1902,306042,101,53,11,1,-77.01224702,38.83400372,306042-1
1021,1,9907,1222812,102,0,11,1,-76.98248709,38.9042029,1222812-1
523,1,9601,870183,105,67,11,2,-76.98862038,38.87088872,870183-1
661,1,2202,655045,103,0,11,1,-76.96221649,38.9267688,655045-2
576,1,8301,631012,101,0,11,1,-76.97528042,38.91039688,631012-1
1352,1,9602,1270258,105,94,11,1,-77.03355844,38.83432008,1270258-1
505,1,9203,516429,104,85,11,2,-76.98448415,38.90607888,516429-1
394,1,9907,512654,102,59,11,6,-76.98899141,38.90346324,512654-2
225,1,7304,209206,105,103,11,1,-77.03599666,38.81859605,209206-3
38,1,9907,68077,102,90,11,2,-76.982486,38.90242191,68077-1
819,1,9601,1303204,105,109,11,1,-76.98425371,38.87142119,1303204-4
1076,1,2202,1043325,103,72,11,1,-76.95890818,38.92970825,1043325-3
1,1,9203,7088,104,137,11,7,-76.98337818,38.90974452,7088-1
752,1,9907,956995,102,54,11,1,-76.98658696,38.90447043,956995-2
1062,1,4300,728607,103,67,11,2,-76.98861559,38.86737261,728607-3
352,1,4300,279637,103,46,11,2,-76.9917641,38.8651439,279637-1
381,1,9803,387721,103,0,11,1,-76.95987633,38.9013855,387721-3
1331,1,9602,1257777,105,47,11,1,-77.024081,38.82110909,1257777-1
562,1,9203,575155,104,50,11,5,-76.9837582,38.90709052,575155-3
170,1,9602,135899,105,88,11,1,-77.0428736,38.83777271,135899-1
630,1,9203,651071,104,54,11,4,-76.97933531,38.91518786,651071-6
420,1,9504,390492,105,338,11,1,-76.99284435,38.86299366,390492-1
131,1,4300,117135,103,77,11,2,-76.98943132,38.86477861,117135-3
247,1,8301,326393,101,83,11,1,-76.97529218,38.91493909,326393-2
442,1,9504,407041,105,72,11,3,-76.99749092,38.85818986,407041-2
594,1,8903,566439,105,64,11,2,-76.98051537,38.9034089,566439-4
725,1,8301,760633,101,83,11,2,-76.96467326,38.93448037,760633-3
674,1,9203,698610,104,42,11,2,-76.97843346,38.91018111,698610-1
409,1,9907,551371,102,70,11,1,-76.98511849,38.90190571,551371-2
929,1,9203,1011944,104,0,11,1,-76.97734304,38.91367203,1011944-1
573,1,8903,539951,105,60,11,1,-76.97926163,38.90593367,539951-3
981,1,9203,1060035,104,76,11,2,-76.97919023,38.90929246,1060035-1
1181,1,9203,1228252,104,58,11,2,-76.97833924,38.910871,1228252-5
713,1,1901,614574,104,114,11,4,-76.99802878,38.85616358,614574-2
363,1,8301,438847,101,60,11,2,-76.96107632,38.93219788,438847-1
967,1,9203,1045596,104,147,11,1,-76.97987119,38.90572119,1045596-2
428,1,9602,377824,105,60,11,1,-77.03292773,38.82411172,377824-1
69,1,4300,55860,103,89,11,2,-76.99037309,38.86325782,55860-4
457,1,10100,352013,104,79,11,7,-76.99366114,38.85931505,352013-1
1527,1,10100,1164777,104,87,11,3,-76.99322978,38.86174743,1164777-4
195,1,8301,261521,101,63,11,1,-76.97044893,38.92082475,261521-2
8,1,9203,7729,104,73,11,2,-76.98189499,38.90775645,7729-1
1260,1,9203,1305732,104,0,11,1,-76.98371459,38.9091457,1305732-1
52,1,9602,29831,105,67,11,1,-77.03612069,38.82987934,29831-6
696,1,9602,667332,105,76,11,3,-77.03507084,38.82028035,667332-3
393,1,9203,435649,104,67,11,2,-76.98261567,38.90564209,435649-2
789,1,9907,997014,102,0,11,1,-76.98774639,38.90513756,997014-1
170,1,4300,144390,103,65,11,1,-76.98663641,38.86685708,144390-4
366,1,9601,603463,105,54,11,1,-76.98530535,38.86885942,603463-1
1246,1,9602,1179627,105,61,11,1,-77.04084935,38.8385766,1179627-1
339,1,8903,288751,105,275,11,3,-76.98146556,38.90239402,288751-3
889,1,9504,910380,105,0,11,1,-76.99519723,38.85885327,910380-1
598,1,1902,915152,101,55,11,2,-77.01165357,38.8359785,915152-1
392,1,9504,369704,105,54,11,1,-76.99597426,38.86050607,369704-1
518,1,8301,582703,101,65,11,1,-76.96923233,38.92253751,582703-1
270,1,9907,330678,102,177,11,1,-76.98431579,38.9003625,330678-1
89,1,6600,87600,104,34,11,4,-76.96214978,38.89378604,87600-3
864,1,1902,1345099,101,84,11,4,-77.01087118,38.83656128,1345099-1
39,1,9203,41823,104,81,11,10,-76.97996512,38.91065756,41823-1
724,1,4300,525291,103,66,11,1,-76.99011252,38.86725907,525291-2
310,1,9907,405518,102,39,11,1,-76.98232719,38.90345952,405518-1
397,1,9203,439361,104,69,11,1,-76.97895795,38.91266373,439361-2
1359,1,10100,1028593,104,75,11,4,-76.99257545,38.86209744,1028593-2
306,1,8410,659428,104,95,11,1,-76.97337543,38.88508608,659428-1
1017,1,4300,700703,103,0,11,1,-76.98793252,38.86673194,700703-2
284,1,2202,307414,103,52,11,1,-76.96123288,38.92465533,307414-1
592,1,9203,610856,104,58,11,10,-76.97722939,38.9110499,610856-1
946,1,8301,1051728,101,0,11,1,-76.96957941,38.92375835,1051728-1
882,1,10100,630517,104,65,11,1,-76.99105034,38.86233922,630517-1
1185,1,9203,1239788,104,191,11,1,-76.9783825,38.91588153,1239788-2
347,1,9803,344838,103,56,11,1,-76.95884217,38.9034861,344838-2
1007,1,9203,1073860,104,150,11,2,-76.98100687,38.90832464,1073860-4
831,1,9203,916277,104,101,11,4,-76.97884696,38.9097571,916277-1
1067,1,8903,985071,105,0,11,1,-76.98104603,38.90295885,985071-1
1092,1,9504,1083632,105,139,11,3,-76.99276365,38.86509831,1083632-4
707,1,9504,736992,105,50,11,1,-76.99440096,38.8630715,736992-2
1130,1,9907,1323986,102,86,11,2,-76.98483906,38.90060147,1323986-3
963,1,8301,1073403,101,55,11,1,-76.97515339,38.91341565,1073403-1
97,1,9907,138130,102,69,11,9,-76.98616083,38.90618014,138130-2
325,1,9601,528380,105,0,11,1,-76.98603329,38.86812316,528380-3
1144,1,9203,1197551,104,92,11,2,-76.97758294,38.91468738,1197551-1
576,1,1902,864331,101,0,11,1,-77.01160808,38.83565985,864331-2
886,1,9203,965293,104,58,11,3,-76.98291607,38.90699845,965293-1
276,1,9602,222978,105,91,11,1,-77.04277539,38.83570245,222978-1
1213,1,1901,1042719,104,64,11,4,-77.00662858,38.84375828,1042719-1
747,1,7304,768616,105,74,11,2,-77.02979799,38.80083918,768616-1
743,1,2202,716289,103,0,11,1,-76.9604598,38.92842249,716289-2
131,1,9203,155188,104,141,11,1,-76.98167453,38.90822997,155188-3
276,1,9203,317872,104,53,11,2,-76.97804583,38.90956059,317872-2
163,1,9907,215102,102,0,11,1,-76.98354444,38.90541852,215102-1
43,1,1902,93347,101,70,11,4,-77.0170401,38.82447536,93347-1
1142,1,9504,1129043,105,71,11,1,-76.99491686,38.85963248,1129043-1
584,1,9203,599470,104,64,11,1,-76.98328863,38.90678319,599470-1
1758,1,4300,1229096,103,66,11,4,-76.98918862,38.86516393,1229096-1
682,1,9602,655843,105,58,11,2,-77.02585424,38.82250907,655843-2
489,1,8301,538974,101,69,11,3,-76.96995868,38.92030035,538974-2
326,1,9203,359631,104,183,11,3,-76.98174424,38.9093735,359631-1
1089,1,4300,737810,103,67,11,1,-76.98886347,38.86740639,737810-2
550,1,9601,912660,105,65,11,1,-76.98311744,38.8717856,912660-1
339,1,9602,272614,105,54,11,2,-77.0376049,38.83118547,272614-3
49,1,8903,52132,105,0,11,1,-76.98021463,38.90349333,52132-5
750,1,1600,657422,102,53,11,4,-76.95714735,38.90689244,657422-1
1596,1,1901,1341067,104,92,11,4,-77.00619959,38.84451401,1341067-3
1048,1,9907,1233119,102,218,11,2,-76.98319942,38.90217221,1233119-3
1206,1,9203,1249627,104,100,11,1,-76.98437712,38.90905151,1249627-2
613,1,9907,793275,102,80,11,1,-76.98634785,38.9015801,793275-3
364,1,4300,295248,103,68,11,1,-76.98806423,38.86591127,295248-1
1150,1,8903,1105195,105,193,11,1,-76.98101814,38.90364069,1105195-2
2024,1,4300,1395733,103,0,11,1,-76.98789566,38.86656024,1395733-1
574,1,9203,589408,104,81,11,2,-76.97749993,38.91221045,589408-1
875,1,7304,884465,105,98,11,2,-77.03378851,38.81806452,884465-2
1125,1,9907,1322820,102,67,11,2,-76.98495249,38.90215843,1322820-2
750,1,8301,779732,101,111,11,1,-76.9651154,38.9327689,779732-1
891,1,4300,633268,103,202,11,2,-76.99062278,38.86392538,633268-4
702,1,9907,901895,102,83,11,6,-76.98711517,38.90260072,901895-2
30,1,9203,36610,104,60,11,1,-76.98047893,38.90585186,36610-2
602,1,8301,654654,101,0,11,1,-76.96526392,38.92501118,654654-3
1404,1,10100,1063338,104,60,11,3,-76.99315415,38.86159019,1063338-5
491,1,9203,512569,104,46,11,3,-76.97778348,38.91427491,512569-2
561,1,9601,919104,105,87,11,1,-76.98753162,38.87073909,919104-1
1878,1,3200,1397307,105,61,11,2,-76.96551828,38.93477202,1397307-2
1019,1,8903,961497,105,0,11,1,-76.97803068,38.90651674,961497-4
1795,1,4300,1259476,103,44,11,5,-76.98960688,38.86362583,1259476-2
1046,1,9907,1233119,102,218,11,2,-76.98296171,38.90128324,1233119-1
108,1,7304,99507,105,54,11,2,-77.02594802,38.81971695,99507-2
871,1,8903,837818,105,78,11,3,-76.97802307,38.90680333,837818-1
831,1,9907,1037100,102,211,11,3,-76.9853102,38.90570429,1037100-1
853,1,9907,1052617,102,64,11,4,-76.98395081,38.90287946,1052617-2
181,1,9203,209069,104,62,11,3,-76.98242985,38.90543144,209069-2
1124,1,8301,1271225,101,76,11,6,-76.97327805,38.92270235,1271225-4
136,1,8410,310006,104,151,11,2,-76.96803691,38.88944288,310006-2
848,1,7304,863610,105,47,11,1,-77.02225458,38.81972808,863610-3
397,1,1600,323117,102,117,11,2,-76.95730265,38.90671794,323117-2
1033,1,9504,1003716,105,0,11,1,-76.99028848,38.86940987,1003716-2
446,1,9203,469529,104,0,11,1,-76.98387369,38.90571575,469529-2
458,1,9602,395518,105,53,11,4,-77.03514572,38.82375701,395518-3
141,1,9602,96367,105,50,11,1,-77.03947169,38.8336991,96367-3
100,1,9907,141526,102,53,11,1,-76.98233106,38.90500101,141526-1
1433,1,4300,997912,103,57,11,2,-76.98932127,38.86632763,997912-1
385,1,9907,495651,102,93,11,1,-76.98648464,38.90341049,495651-1
293,1,9602,233177,105,101,11,1,-77.02398189,38.82492813,233177-2
485,1,9907,652759,102,73,11,2,-76.98433106,38.90184574,652759-4
59,1,9602,45698,105,109,11,1,-77.03073941,38.82006572,45698-3
202,1,9601,326517,105,72,11,1,-76.98599096,38.8707928,326517-1
